Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
9,8434,6985,10445,15268,6943,10094,58169,835,142,66,876,165,88,343,14222,14299,3396,8590,13201,4367,5656,4290,341,3455,2229,415,316,115,1,0.007,126
10,8256,7035,10524,15445,7104,10166,58530,1067,222,95,1120,254,138,469,17036,17181,4080,10329,14729,5249,6777,5125,412,4150,2700,500,437,163,1,0.008,171
1,7466,6356,9670,14044,6419,9050,53005,1,5,1,8,6,4,18,2594,2606,639,1587,1465,800,1001,794,68,628,435,79,4,1,1,0,7
2,7651,6573,9813,14257,6382,9253,53929,26,5,3,31,7,6,37,2606,2713,685,1647,2936,762,1073,830,79,680,430,71,11,5,1,0.002,13
3,7876,6523,9872,14327,6563,9364,54525,55,7,4,58,12,7,43,2684,2735,700,1653,4394,815,1067,812,71,688,433,82,8,1,1,0,15
4,7914,6648,9936,14369,6594,9245,54706,96,20,5,106,23,9,72,2789,2775,684,1706,5847,808,1127,861,71,688,463,80,21,10,1,0.003,30
5,8005,6723,9807,14429,6473,9411,54848,175,20,13,188,24,24,115,2873,2793,636,1696,7262,767,1104,834,67,676,403,81,39,20,1,0.006,42
6,7980,6528,9978,14629,6707,9379,55201,247,43,19,262,57,26,137,5635,5495,1327,3396,8810,1547,2209,1697,140,1356,834,144,74,33,1,0.005,59
7,7989,6757,10151,14678,6663,9531,55769,357,57,29,380,65,47,183,8405,8335,1988,5116,10249,2375,3282,2561,195,2008,1259,230,131,51,1,0.005,71
8,8012,6923,10275,14799,6657,9495,56161,446,86,35,467,93,56,173,11234,11285,2649,6845,11694,3173,4417,3443,262,2707,1713,314,181,72,1,0.006,82
