Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
1,7443,6399,9388,13945,6390,9089,52654,1,3,0,5,3,3,11,2549,2729,606,1643,1414,760,1042,837,66,645,415,67,2,0,0,0,5
2,7586,6432,9692,14177,6454,9369,53710,8,3,1,9,3,1,9,2709,2658,605,1667,2778,788,1064,778,64,649,425,76,2,0,0,0,4
3,7655,6548,9763,14357,6650,9424,54397,15,3,1,15,3,2,8,2652,2691,660,1680,4251,822,1093,794,60,652,419,79,3,0,0,0,4
4,7835,6578,9895,14402,6659,9405,54774,38,3,1,40,3,2,26,2695,2753,680,1709,5698,839,1060,856,59,627,414,81,9,3,1,0.001,12
5,7935,6699,10227,14679,6667,9502,55709,55,4,2,57,6,2,23,2833,2821,662,1698,7219,820,1132,836,71,693,477,83,5,2,1,0.001,14
6,7948,6870,10178,14897,6673,9614,56180,71,4,2,74,4,4,21,5652,5735,1353,3449,8644,1641,2290,1711,134,1422,912,154,10,4,1,0.001,9
7,8080,6823,10299,14960,6768,9863,56793,86,7,3,87,8,5,23,8433,8570,2054,5207,10069,2509,3394,2560,202,2125,1307,247,18,8,1,0.001,6
8,8264,6933,10364,15078,6939,9898,57476,103,13,3,108,15,3,30,11236,11402,2802,6887,11649,3358,4529,3436,283,2787,1789,331,30,13,1,0.001,12
9,8438,6925,10347,15209,6927,9943,57789,138,20,8,147,25,16,69,14206,14221,3474,8666,13195,4203,5701,4262,345,3521,2232,406,44,15,1,0.001,32
10,8453,7066,10614,15473,7057,9993,58656,193,28,14,210,33,27,104,17165,17213,4175,10438,14775,5046,6892,5134,409,4218,2727,477,69,23,1,0.001,38
1,7444,6367,9549,14010,6413,9172,52955,2,2,2,4,3,3,10,2596,2671,637,1644,1372,757,1046,765,60,644,401,76,1,0,0,0,6
2,7609,6460,9719,14210,6529,9233,53760,24,2,2,27,3,4,28,2616,2735,668,1643,2816,759,1022,831,60,665,424,85,8,4,1,0.001,12
3,7735,6555,9729,14425,6531,9485,54460,53,8,7,58,10,12,52,2726,2770,606,1729,4280,794,1118,798,66,692,460,74,12,5,1,0.002,21
4,7776,6662,9797,14559,6647,9508,54949,107,15,12,118,21,24,95,2720,2810,639,1713,5669,841,1085,853,77,668,429,80,22,7,1,0.002,32
5,7887,6680,10058,14764,6752,9599,55740,183,44,20,201,61,34,162,2658,2805,653,1727,7164,816,1022,871,60,700,447,89,48,11,1,0.003,51
6,8076,6781,10149,15038,6773,9694,56511,276,64,32,302,72,49,176,5446,5624,1340,3474,8650,1667,2108,1735,126,1405,895,167,95,32,1,0.005,65
7,8106,6856,10589,15308,6922,9824,57605,391,89,40,421,100,56,205,8237,8551,2072,5222,10137,2510,3241,2647,190,2126,1345,257,152,56,1,0.006,75
8,8121,7157,10637,15554,6954,10223,58646,563,136,58,598,153,74,305,11103,11582,2825,7033,11680,3385,4397,3588,276,2882,1810,351,242,91,1,0.007,114
9,8257,7247,10537,15645,7214,10222,59122,817,199,74,856,234,101,434,14016,14572,3526,8873,13281,4285,5541,4511,355,3628,2327,448,366,134,1,0.008,160
10,8380,7023,10841,15877,7178,10195,59494,1120,255,100,1185,291,144,530,16869,17488,4260,10632,14866,5173,6653,5360,427,4334,2802,530,495,170,1,0.008,186
1,7423,6391,9525,13970,6488,9109,52906,2,0,6,6,0,6,12,2604,2649,675,1592,1444,776,1071,800,70,622,409,72,1,1,1,0,4
2,7585,6294,9665,14272,6341,9406,53563,4,3,8,5,3,8,8,2607,2623,642,1623,2877,791,1017,822,59,644,435,86,1,0,1,0,4
3,7626,6545,9824,14235,6613,9325,54168,14,3,8,14,4,9,12,2658,2681,655,1649,4347,800,1034,851,66,649,409,83,4,1,1,0,6
4,7820,6607,9969,14609,6556,9523,55084,18,3,8,20,4,11,10,2731,2721,700,1781,5806,891,1130,818,67,705,417,99,2,1,1,0,5
5,7941,6695,10003,14554,6674,9554,55421,18,3,8,18,4,8,1,2736,2821,723,1668,7266,812,1075,843,78,659,455,84,0,0,1,0,0
6,8042,6734,10127,14847,6777,9652,56179,18,3,8,18,3,8,0,5512,5614,1382,3466,8741,1663,2230,1681,133,1376,920,161,0,0,1,0,0
7,8137,6799,10179,14989,6802,9713,56619,18,3,8,18,3,8,0,8250,8360,2077,5199,10233,2526,3292,2517,200,2038,1339,242,0,0,1,0,0
8,8381,6858,10271,15049,6861,9880,57300,18,3,8,18,3,8,0,11155,11235,2766,6970,11733,3380,4461,3367,280,2730,1776,319,0,0,1,0,0
9,8363,6937,10413,15256,7054,9984,58007,18,3,8,18,3,8,0,14016,14078,3459,8720,13274,4216,5602,4199,348,3405,2278,409,0,0,1,0,0
10,8533,7004,10500,15382,7094,10105,58618,18,3,8,18,3,8,0,16993,17027,4152,10476,14883,5129,6797,5055,418,4143,2751,509,0,0,1,0,0
1,7446,6392,9598,14016,6453,9099,53004,5,0,0,8,0,2,10,2597,2679,644,1646,1419,794,1036,825,73,651,430,91,1,1,1,0,5
2,7569,6458,9619,14182,6315,9185,53328,8,1,2,9,2,3,9,2596,2689,596,1643,2808,807,1039,765,58,668,410,87,2,0,1,0,5
3,7693,6525,9825,14341,6432,9346,54162,17,3,2,18,4,2,13,2703,2642,654,1647,4197,772,1080,768,57,662,420,68,2,1,1,0,6
4,7822,6675,9988,14359,6576,9424,54844,33,5,3,36,5,5,24,2716,2728,642,1641,5697,811,1123,838,71,679,468,73,6,2,1,0.001,9
5,8075,6786,9930,14528,6668,9531,55518,50,5,8,54,8,8,29,2767,2870,663,1678,7137,813,1117,827,57,688,458,86,7,2,1,0.001,12
6,8181,6625,10073,14885,6646,9735,56145,67,20,11,76,23,15,51,5625,5603,1379,3374,8595,1571,2273,1613,146,1352,898,162,24,7,1,0.001,18
7,8137,6781,10157,15148,6945,9890,57058,106,32,22,118,34,37,91,8447,8417,2052,5027,10143,2434,3427,2422,211,2023,1379,241,42,14,1,0.001,27
8,8296,6816,10635,15475,6967,10247,58436,179,58,23,193,65,25,123,11336,11295,2794,6786,11682,3254,4560,3249,280,2738,1860,335,82,21,1,0.002,36
