Iteration,Postharvest_N,harvest_AM,harvest_AF,harvest_YM,harvest_YF,harvest_FM,harvest_FF,F:M,adult_prop,yearling_prop,fawn_prop
1,40051,2545,1545,2561,1364,634,777,1.49,0.41,0.21,0.38
2,40349,2740,1609,2585,1392,636,795,1.47,0.41,0.21,0.38
3,42270,2684,1720,2705,1459,712,893,1.52,0.41,0.21,0.38
4,40487,2587,1589,2599,1402,667,763,1.47,0.41,0.21,0.38
5,39888,2540,1612,2650,1395,697,761,1.5,0.41,0.21,0.38
