Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
1,7407,6345,9533,14032,6428,9247,52992,1,0,1,2,0,1,3,2479,2604,643,1576,1379,783,980,828,62,618,428,84,0,0,0,0,2
2,7655,6450,9773,14316,6550,9327,54071,1,0,1,1,0,1,0,2597,2704,659,1659,2828,799,1026,861,72,671,441,77,0,0,0,0,0
3,7806,6601,9746,14305,6565,9621,54644,1,0,1,1,0,1,0,2690,2756,663,1725,4244,841,1068,844,57,691,397,86,0,0,0,0,0
4,7961,6524,9883,14452,6742,9559,55121,1,0,1,1,0,1,0,2749,2765,644,1704,5773,792,1121,774,67,650,446,90,0,0,0,0,0
5,7954,6701,10003,14584,6823,9528,55593,1,0,1,1,0,1,0,2784,2872,705,1690,7313,779,1124,869,76,681,457,81,0,0,0,0,0
6,7994,6688,10015,14662,6734,9566,55659,1,0,1,1,0,1,0,5501,5692,1360,3321,8825,1624,2228,1690,139,1299,916,157,0,0,0,0,0
7,8082,6740,10092,14784,6773,9609,56080,1,0,1,1,0,1,0,8309,8450,2072,5022,10286,2461,3361,2528,223,1949,1348,246,0,0,0,0,0
8,8199,6786,10192,15022,6744,9738,56681,1,0,1,1,0,1,0,11181,11243,2703,6717,11773,3321,4527,3339,287,2653,1774,324,0,0,0,0,0
9,8311,6917,10350,15220,6841,9933,57572,1,0,1,1,0,1,0,14079,14091,3396,8468,13282,4156,5686,4209,363,3353,2215,412,0,0,0,0,0
10,8426,6928,10413,15452,7115,10132,58466,1,0,1,1,0,1,0,16977,16951,4097,10275,14846,5077,6856,5072,438,4087,2705,495,0,0,0,0,0
1,7509,6340,9721,13974,6462,9028,53034,3,1,0,4,2,1,7,2610,2644,651,1658,1409,757,1082,777,80,662,409,78,2,1,1,0,2
2,7626,6604,9582,14114,6327,9288,53541,6,1,1,7,1,1,5,2641,2701,594,1688,2772,798,1053,846,57,664,435,72,0,0,1,0,2
3,7873,6522,9577,14139,6566,9232,53909,9,1,1,9,1,1,3,2745,2721,637,1669,4228,829,1070,827,66,680,428,83,1,1,1,0,2
4,7901,6453,9752,14318,6472,9425,54321,9,1,1,9,1,1,0,2668,2701,651,1652,5646,751,1038,830,74,647,420,72,0,0,1,0,0
5,7956,6605,9890,14548,6671,9432,55102,9,1,1,9,1,1,0,2686,2757,661,1710,7097,842,1046,827,60,667,429,90,0,0,1,0,0
6,8103,6628,10105,14623,6710,9680,55849,9,1,1,9,1,1,0,5528,5518,1325,3399,8571,1663,2205,1639,136,1361,881,174,0,0,1,0,0
