Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
1,7450,6386,9420,14031,6475,9172,52934,7,2,0,8,2,0,10,2626,2640,630,1695,1357,787,1089,792,70,670,389,96,3,1,1,0,5
2,7604,6236,9715,14323,6496,9365,53739,27,3,1,28,3,6,28,2675,2594,610,1605,2826,811,1062,782,69,629,456,83,9,3,1,0.001,9
3,7610,6524,9938,14634,6616,9646,54968,53,4,2,56,6,3,34,2688,2663,674,1681,4312,801,1032,817,70,695,448,89,7,3,1,0.001,16
4,7783,6658,10120,14864,6804,9727,55956,98,6,4,104,11,7,63,2718,2771,681,1741,5798,808,1096,841,78,708,462,74,23,5,1,0.002,24
5,7907,6864,10384,15077,6885,9834,56951,137,12,7,147,17,14,70,2728,2881,740,1661,7323,848,1099,822,75,679,466,77,20,7,1,0.002,25
6,8140,7081,10475,15325,6998,10159,58178,208,30,11,224,39,20,127,5608,5809,1439,3448,8894,1689,2248,1717,141,1366,946,158,52,18,1,0.003,50
7,8348,7047,10535,15532,7198,10110,58770,332,44,16,353,52,35,191,8493,8763,2119,5362,10492,2575,3400,2553,214,2142,1425,247,109,45,1,0.005,60
8,8424,7110,10713,15619,7074,10177,59117,508,71,24,539,94,58,299,11450,11642,2826,7140,12059,3429,4637,3438,274,2846,1880,348,177,66,1,0.005,98
9,8531,7199,10659,15694,7140,10338,59561,711,110,41,758,135,76,366,14424,14661,3506,8970,13574,4339,5774,4359,346,3563,2340,437,273,101,1,0.006,116
10,8501,7248,10812,15978,7335,10326,60200,922,157,52,971,185,86,380,17363,17739,4255,10861,15185,5246,6978,5300,420,4322,2832,518,382,137,1,0.007,125
1,7402,6349,9617,13964,6447,9057,52836,0,0,0,1,0,1,2,2585,2635,614,1689,1446,790,1052,789,75,647,435,80,0,0,0,0,1
2,7545,6523,9766,14187,6334,9296,53651,0,0,0,0,0,0,0,2623,2737,619,1655,2858,755,1052,813,41,616,420,85,0,0,0,0,0
3,7711,6567,9663,14129,6611,9365,54046,0,0,0,0,0,0,0,2638,2672,662,1655,4335,788,1052,808,79,689,447,78,0,0,0,0,0
4,8002,6492,9779,14267,6666,9329,54535,0,0,0,0,0,0,0,2755,2782,640,1609,5754,764,1131,862,58,623,432,63,0,0,0,0,0
5,7923,6626,9952,14619,6657,9596,55373,0,0,0,0,0,0,0,2685,2802,627,1736,7226,843,1046,878,63,712,416,83,0,0,0,0,0
6,8102,6733,10088,14847,6694,9716,56180,0,0,0,0,0,0,0,5549,5672,1327,3346,8773,1687,2241,1710,132,1373,884,161,0,0,0,0,0
7,8046,6754,10126,15022,6856,9729,56533,0,0,0,0,0,0,0,8357,8537,2041,5078,10287,2503,3348,2589,203,2057,1330,248,0,0,0,0,0
8,8091,6839,10225,15175,6875,10000,57205,0,0,0,0,0,0,0,11163,11397,2697,6818,11759,3362,4424,3440,278,2767,1767,329,0,0,0,0,0
9,8228,6951,10521,15414,7024,10116,58254,0,0,0,0,0,0,0,14041,14364,3363,8613,13264,4221,5553,4306,342,3494,2243,411,0,0,0,0,0
10,8270,7186,10599,15700,7180,10238,59173,0,0,0,0,0,0,0,16978,17373,4072,10378,14898,5068,6731,5180,422,4168,2731,502,0,0,0,0,0
1,7459,6329,9677,13997,6379,9092,52933,7,0,0,7,0,0,7,2602,2689,640,1557,1426,751,1010,814,63,599,434,89,4,0,0,0,2
2,7482,6462,9729,14263,6429,9472,53837,11,0,0,12,0,1,6,2629,2661,683,1691,2836,783,1019,816,74,645,418,65,1,1,1,0,4
3,7672,6533,9929,14529,6702,9640,55005,18,2,0,19,4,5,17,2622,2657,657,1703,4265,784,1072,822,58,666,397,86,4,3,1,0.001,7
4,7895,6708,10159,14648,6836,9682,55928,38,2,0,44,4,4,32,2707,2787,679,1670,5785,825,1104,864,72,687,464,77,12,5,1,0.002,13
5,8070,6921,10021,14813,6806,9630,56261,74,7,3,84,13,7,64,2834,2941,670,1688,7292,817,1117,869,57,725,497,71,15,5,1,0.001,22
6,8198,6781,10088,15003,6824,9799,56693,119,14,8,131,19,19,85,5620,5843,1346,3392,8806,1692,2217,1737,121,1423,939,165,38,13,1,0.002,25
