Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7,8287,6866,10325,15294,6883,9921,57576,162,30,12,169,36,16,80,8563,8685,2017,5182,10278,2597,3394,2597,196,2168,1391,263,59,22,1,0.002,31
8,8323,7023,10528,15369,6952,10169,58364,216,46,13,224,53,16,89,11383,11592,2706,6960,11806,3451,4565,3488,271,2890,1868,348,87,34,1,0.003,37
9,8557,7148,10642,15468,7199,10328,59342,263,59,19,276,65,25,91,14415,14564,3377,8743,13378,4424,5772,4375,342,3598,2344,450,113,47,1,0.003,42
10,8624,7123,10639,15770,7211,10266,59633,321,77,22,337,83,33,112,17353,17478,4084,10525,14905,5291,6975,5310,420,4284,2797,544,149,62,1,0.003,37
1,7493,6417,9399,14029,6481,9232,53051,9,0,0,10,0,1,11,2615,2688,646,1596,1414,777,1019,819,58,650,418,76,2,1,1,0,4
2,7654,6338,9852,14457,6526,9399,54226,15,0,0,16,2,0,9,2644,2624,646,1626,2844,825,1060,814,78,625,437,69,2,1,1,0,3
3,7694,6638,10070,14664,6635,9514,55215,15,0,1,16,0,2,3,2648,2812,674,1787,4323,781,1091,882,69,708,451,87,0,0,1,0,1
4,7844,6790,10035,14766,6745,9799,55979,15,0,1,15,0,1,0,2775,2815,683,1742,5819,795,1129,822,69,719,408,73,0,0,1,0,0
5,8027,6660,10156,15035,6944,9949,56771,15,0,1,15,0,1,0,2835,2812,654,1738,7233,880,1142,847,66,694,442,82,0,0,1,0,0
6,8035,6886,10531,15424,6992,10027,57895,15,0,1,15,0,1,0,5626,5686,1325,3536,8792,1731,2237,1781,139,1411,900,159,0,0,1,0,0
7,8168,7076,10619,15527,6998,10153,58541,15,0,1,15,0,1,0,8453,8574,1979,5336,10319,2558,3333,2676,196,2130,1353,238,0,0,1,0,0
8,8421,7245,10581,15661,7229,10212,59349,15,0,1,15,0,1,0,11324,11629,2645,7153,11876,3464,4475,3559,258,2845,1810,338,0,0,1,0,0
9,8640,7185,10864,16028,7230,10415,60362,15,0,1,15,0,1,0,14325,14602,3331,8955,13449,4377,5651,4443,342,3560,2269,446,0,0,1,0,0
10,8768,7372,11194,16127,7352,10556,61369,15,0,1,15,0,1,0,17345,17639,4086,10834,14968,5219,6833,5346,401,4330,2727,507,0,0,1,0,0
1,7451,6342,9355,13987,6409,9226,52770,4,0,0,4,0,0,4,2594,2627,598,1630,1431,789,997,796,68,663,430,82,2,1,1,0,1
2,7563,6332,9785,14219,6509,9227,53635,5,0,0,5,0,0,1,2582,2585,649,1637,2807,788,1022,768,65,672,411,85,0,0,1,0,0
3,7733,6575,9865,14535,6547,9459,54714,5,0,0,5,0,0,0,2640,2873,655,1743,4233,852,1026,844,47,665,415,92,0,0,1,0,0
4,7814,6750,10080,14751,6652,9616,55663,5,0,0,5,0,0,0,2705,2830,645,1770,5790,820,1087,829,71,697,469,97,0,0,1,0,0
5,7981,6806,9999,14851,6717,9691,56045,5,0,0,5,0,0,0,2763,2769,662,1733,7242,882,1129,799,54,680,420,90,0,0,1,0,0
6,8239,6821,10112,14997,6865,9891,56925,5,0,0,5,0,0,0,5615,5668,1327,3477,8727,1723,2274,1653,122,1403,854,170,0,0,1,0,0
7,8267,6930,10434,15289,6982,10013,57915,5,0,0,5,0,0,0,8432,8493,1996,5306,10337,2579,3389,2530,187,2156,1336,259,0,0,1,0,0
8,8550,7055,10595,15384,7027,10035,58646,5,0,0,5,0,0,0,11360,11447,2693,7046,11853,3423,4546,3386,255,2813,1804,352,0,0,1,0,0
9,8604,7061,10578,15687,7085,10306,59321,5,0,0,5,0,0,0,14422,14380,3396,8895,13373,4245,5741,4236,331,3551,2282,431,0,0,1,0,0
10,8533,7155,10923,15947,7329,10415,60302,5,0,0,5,0,0,0,17373,17370,4168,10777,14992,5136,6950,5154,409,4296,2759,518,0,0,1,0,0
1,7432,6366,9683,14018,6410,8982,52891,8,0,0,8,0,0,8,2616,2702,634,1548,1397,771,1059,805,64,623,417,77,6,2,1,0.001,2
2,7515,6528,9752,14328,6292,9403,53818,16,1,0,18,3,1,14,2627,2741,713,1709,2807,797,1031,872,52,715,423,86,4,1,1,0,4
3,7712,6406,9715,14345,6629,9453,54260,34,4,4,38,7,4,32,2645,2651,622,1639,4253,801,1058,801,67,652,425,70,6,3,1,0.001,5
4,7823,6578,9905,14590,6644,9628,55168,62,5,6,65,6,8,37,2706,2739,664,1631,5740,787,1062,802,65,644,419,66,8,4,1,0.001,8
5,7894,6799,10078,14906,6871,9749,56297,88,10,7,92,12,7,38,2662,2803,669,1728,7251,855,1083,833,62,726,457,75,11,7,1,0.002,10
6,8130,6834,10393,15172,6896,10024,57449,127,16,9,137,18,16,66,5483,5619,1381,3443,8794,1668,2249,1689,140,1420,909,156,26,12,1,0.002,13
7,8239,7019,10537,15392,7082,10075,58344,181,42,15,198,53,24,123,8294,8506,2124,5208,10417,2550,3439,2559,219,2166,1382,234,51,19,1,0.002,20
8,8497,7115,10591,15653,7126,10248,59230,267,72,28,287,83,37,169,11251,11456,2818,6972,11949,3408,4643,3417,299,2893,1816,326,108,42,1,0.003,26
9,8619,7123,10835,15891,7284,10470,60222,359,93,34,380,102,44,159,14229,14390,3569,8843,13565,4346,5817,4306,374,3645,2300,418,160,63,1,0.004,28
10,8630,7319,11051,16181,7327,10444,60952,461,139,46,488,149,62,213,17208,17399,4299,10682,15155,5263,6998,5207,432,4363,2795,501,217,83,1,0.004,38
1,7432,6338,9602,14031,6414,9106,52923,3,0,0,3,0,1,4,2622,2657,624,1639,1384,762,1077,798,71,657,428,83,1,0,0,0,3
2,7496,6378,9808,14301,6488,9239,53710,15,0,0,17,1,0,15,2531,2607,684,1660,2760,789,1037,811,78,618,402,81,5,5,1,0.002,7
3,7701,6586,9975,14648,6478,9578,54966,39,2,3,42,3,4,34,2716,2713,720,1624,4162,806,1073,863,79,649,423,88,13,5,1,0.002,13
4,7858,6674,10058,14769,6762,9515,55636,75,14,6,83,15,7,61,2725,2709,664,1737,5620,783,1099,841,74,718,451,85,15,8,1,0.002,28
5,8029,6756,10277,14992,6689,9864,56607,140,23,10,157,26,25,113,2852,2829,689,1711,7126,840,1098,813,79,715,467,88,24,7,1,0.002,49
6,8048,6833,10382,15040,6918,9961,57182,236,40,19,253,53,41,174,5570,5700,1399,3446,8661,1695,2185,1630,160,1406,956,177,73,25,1,0.004,64
7,8242,7004,10197,15053,7010,9907,57413,354,63,20,370,84,30,189,8438,8667,2073,5174,10189,2513,3334,2535,240,2100,1415,268,138,54,1,0.005,67
8,8300,6918,10473,15313,7040,9948,57992,512,87,33,544,98,51,256,11356,11520,2777,7013,11713,3407,4461,3382,317,2895,1866,357,215,80,1,0.006,94
9,8346,7037,10433,15368,7040,10050,58274,717,126,53,765,150,84,367,14282,14444,3464,8862,13324,4270,5646,4233,400,3635,2324,429,315,114,1,0.007,143
10,8388,7072,10451,15255,7090,9959,58215,978,177,74,1030,202,115,451,17263,17359,4102,10566,14901,5116,6855,5095,460,4280,2798,511,441,166,1,0.008,168
1,7413,6402,9379,14016,6440,9233,52883,0,0,0,1,0,2,3,2609,2632,644,1686,1406,779,1017,758,69,684,419,74,0,0,0,0,1
2,7601,6356,9676,14295,6529,9359,53816,0,0,0,0,0,0,0,2662,2668,648,1648,2828,805,1101,803,55,645,434,86,0,0,0,0,0
3,7680,6556,9947,14547,6593,9608,54931,0,0,0,0,0,0,0,2639,2679,683,1736,4297,758,1093,801,67,663,452,80,0,0,0,0,0
4,7924,6773,9857,14650,6854,9659,55717,0,0,0,0,0,0,0,2721,2855,696,1704,5859,863,1057,863,89,665,496,87,0,0,0,0,0
5,8138,6588,10180,14929,6753,9726,56314,0,0,0,0,0,0,0,2789,2742,682,1745,7390,857,1130,826,66,676,463,88,0,0,0,0,0
6,8129,6831,10202,14906,6908,9765,56741,0,0,0,0,0,0,0,5610,5508,1399,3453,8897,1696,2226,1627,137,1320,898,166,0,0,0,0,0
7,8319,6887,10317,15225,6822,9950,57520,0,0,0,0,0,0,0,8445,8424,2097,5160,10428,2590,3386,2494,208,2003,1349,262,0,0,0,0,0
8,8360,6892,10586,15352,7078,9984,58252,0,0,0,0,0,0,0,11305,11259,2809,6945,12033,3441,4515,3342,274,2691,1837,340,0,0,0,0,0
9,8471,7129,10514,15441,6971,9961,58487,0,0,0,0,0,0,0,14216,14180,3498,8675,13485,4311,5669,4245,342,3396,2289,422,0,0,0,0,0
10,8641,7170,10719,15546,7008,10157,59241,0,0,0,0,0,0,0,17228,17095,4204,10487,15073,5213,6901,5174,410,4144,2753,495,0,0,0,0,0
1,7431,6352,9659,14013,6431,9149,53035,0,0,0,1,0,0,1,2535,2630,671,1695,1383,816,1031,772,56,683,398,81,0,0,0,0,1
2,7658,6511,9768,14290,6469,9312,54008,0,0,0,0,0,0,0,2683,2694,630,1626,2830,783,1048,820,64,618,442,76,0,0,0,0,0
3,7790,6580,9850,14432,6606,9476,54734,0,0,0,0,0,0,0,2753,2813,694,1656,4313,806,1109,834,51,645,426,91,0,0,0,0,0
4,7842,6643,9917,14522,6733,9555,55212,0,0,0,0,0,0,0,2736,2745,712,1707,5816,824,1099,872,72,674,461,88,0,0,0,0,0
5,7949,6651,10124,14824,6715,9709,55972,0,0,0,0,0,0,0,2704,2781,655,1671,7354,892,1047,828,73,663,459,65,0,0,0,0,0
6,8076,6774,10030,14848,6770,9995,56493,0,0,0,0,0,0,0,5483,5514,1321,3434,8864,1708,2171,1638,128,1357,932,153,0,0,0,0,0
7,8257,6759,10234,14917,7065,9721,56953,0,0,0,0,0,0,0,8319,8328,2008,5137,10430,2526,3342,2471,202,2040,1396,239,0,0,0,0,0
8,8327,6862,10546,15385,6881,9986,57987,0,0,0,0,0,0,0,11180,11132,2737,6934,11994,3350,4446,3280,277,2802,1850,312,0,0,0,0,0
9,8451,7144,10388,15466,7105,10248,58802,0,0,0,0,0,0,0,14186,14041,3416,8692,13493,4257,5635,4189,350,3522,2301,388,0,0,0,0,0
10,8634,7065,10815,15901,7212,10383,60010,0,0,0,0,0,0,0,17132,16884,4148,10498,15106,5139,6796,5050,426,4278,2785,496,0,0,0,0,0
1,7413,6365,9483,14047,6420,9145,52873,0,1,0,1,1,0,2,2595,2652,613,1560,1359,766,1041,780,57,620,404,78,0,0,0,0,2
2,7608,6372,9894,14443,6543,9399,54259,8,1,0,9,1,0,9,2641,2590,672,1719,2790,767,1059,771,62,690,409,86,3,3,1,0.001,3
3,7719,6697,9965,14475,6688,9423,54967,16,1,2,18,1,7,17,2607,2760,648,1639,4258,802,1057,816,53,639,438,79,3,1,1,0,5
4,8030,6734,9994,14671,6686,9579,55694,32,7,3,34,10,5,30,2743,2785,652,1708,5719,819,1095,801,62,711,391,96,6,1,1,0,14
5,8206,6679,10140,14678,6786,9665,56154,56,8,3,58,12,6,34,2849,2770,694,1652,7263,867,1166,837,68,664,453,81,6,2,1,0.001,15
6,8231,6838,10070,14832,6762,9794,56527,79,13,5,82,18,8,41,5645,5653,1337,3395,8776,1720,2310,1714,126,1366,907,164,20,6,1,0.001,17
7,8293,6854,10149,15093,6926,9965,57280,106,19,8,114,22,15,54,8535,8562,1979,5070,10255,2576,3460,2600,194,2079,1348,276,33,12,1,0.001,23
8,8304,6848,10730,15544,7091,10136,58653,146,30,8,152,34,13,66,11443,11377,2672,6841,11883,3481,4631,3492,243,2784,1856,379,51,17,1,0.001,27
9,8338,7192,10708,15739,7157,10390,59524,187,36,13,199,39,18,72,14323,14413,3336,8685,13507,4334,5794,4418,315,3531,2347,464,71,25,1,0.001,29
10,8529,7264,10800,15943,7299,10404,60239,238,55,14,248,62,21,95,17298,17362,4080,10542,15134,5256,7002,5301,398,4271,2871,553,95,36,1,0.002,34
1,7508,6454,9505,14037,6412,9144,53060,10,0,0,10,0,0,10,2596,2699,621,1554,1361,810,1062,821,62,609,448,98,5,5,1,0.002,3
2,7639,6475,9574,14402,6425,9613,54128,16,0,0,16,0,0,6,2654,2760,640,1745,2751,817,1078,827,68,712,424,90,2,2,1,0.001,3
3,7741,6489,9986,14397,6861,9302,54776,17,0,0,17,0,0,1,2662,2720,671,1706,4246,789,1084,832,66,724,475,90,0,0,1,0,1
4,7813,6643,10104,14597,6545,9707,55409,17,0,0,17,0,0,0,2702,2795,652,1755,5709,863,1097,797,57,694,466,103,0,0,1,0,0
5,7926,6878,9810,14440,6825,9431,55310,17,0,0,17,0,0,0,2740,2821,619,1699,7222,822,1074,883,67,675,462,91,0,0,1,0,0
6,8214,6651,10139,14728,6681,9679,56092,17,0,0,17,0,0,0,5578,5540,1301,3444,8669,1617,2246,1720,137,1380,896,184,0,0,1,0,0
7,8264,6827,10020,14718,6909,9681,56419,17,0,0,17,0,0,0,8491,8417,2004,5110,10138,2464,3383,2615,195,2036,1367,269,0,0,1,0,0
8,8241,6779,10417,15047,6753,9675,56912,17,0,0,17,0,0,0,11355,11231,2744,6767,11621,3270,4540,3504,272,2736,1803,349,0,0,1,0,0
9,8311,7081,10329,15182,6882,9860,57645,17,0,0,17,0,0,0,14276,14172,3436,8514,13135,4157,5719,4348,340,3446,2230,437,0,0,1,0,0
10,8479,6890,10392,15233,6933,10133,58060,17,0,0,17,0,0,0,17158,16999,4061,10251,14729,4976,6848,5188,389,4158,2744,508,0,0,1,0,0
1,7494,6333,9575,14055,6406,9168,53031,1,1,0,4,1,3,8,2651,2711,609,1603,1385,789,1078,853,46,609,425,75,2,1,1,0,3
2,7512,6442,9704,14288,6490,9358,53794,2,1,0,3,2,0,3,2574,2691,617,1673,2814,800,1026,769,65,679,451,79,2,1,1,0,1
3,7739,6595,9884,14548,6640,9497,54903,2,1,0,2,1,0,0,2644,2770,652,1646,4271,778,1028,840,60,686,443,90,0,0,1,0,0
4,7932,6631,10134,14821,6743,9553,55814,2,1,0,2,1,0,0,2753,2710,681,1643,5706,835,1104,813,61,647,397,102,0,0,1,0,0
5,8035,6799,10472,15192,6706,9873,57077,2,1,0,2,1,0,0,2799,2792,749,1722,7171,887,1114,850,80,709,436,103,0,0,1,0,0
6,8207,7036,10325,15180,6914,9992,57654,2,1,0,2,1,0,0,5603,5739,1444,3422,8720,1710,2185,1746,152,1407,902,184,0,0,1,0,0
7,8377,6994,10501,15261,7128,10026,58287,2,1,0,2,1,0,0,8588,8654,2154,5206,10324,2552,3362,2632,226,2113,1374,266,0,0,1,0,0
8,8385,7133,10600,15393,7069,10054,58634,2,1,0,2,1,0,0,11485,11606,2848,6961,11817,3413,4508,3534,292,2775,1851,355,0,0,1,0,0
9,8572,7194,10775,15713,7068,10206,59528,2,1,0,2,1,0,0,14376,14662,3551,8758,13381,4281,5686,4425,374,3478,2329,433,0,0,1,0,0
10,8722,7221,10843,15884,7178,10384,60232,2,1,0,2,1,0,0,17339,17708,4210,10582,14968,5186,6859,5356,441,4242,2819,517,0,0,1,0,0
1,7444,6421,9448,13938,6446,9138,52835,0,0,0,2,0,1,3,2620,2703,633,1639,1350,766,1063,824,63,664,411,73,1,0,0,0,1
2,7631,6387,9721,14277,6387,9429,53832,0,0,0,1,1,1,3,2657,2710,643,1625,2751,806,1062,749,59,628,412,94,1,0,0,0,1
3,7742,6580,9868,14307,6644,9369,54510,0,0,0,0,0,0,0,2752,2713,649,1690,4244,798,1099,794,62,681,458,71,0,0,0,0,0
4,7848,6682,9830,14552,6695,9468,55075,0,0,0,0,0,0,0,2696,2720,657,1668,5767,793,1054,804,60,679,451,86,0,0,0,0,0
5,8096,6717,10011,14745,6677,9774,56020,0,0,0,0,0,0,0,2807,2805,691,1725,7215,831,1085,843,66,666,420,78,0,0,0,0,0
6,8121,6652,10037,14715,6906,9585,56016,0,0,0,0,0,0,0,5632,5549,1369,3390,8803,1625,2184,1698,127,1332,907,172,0,0,0,0,0
7,8129,6692,10221,14892,6732,9749,56415,0,0,0,0,0,0,0,8448,8345,2060,5110,10337,2506,3317,2548,205,2005,1373,253,0,0,0,0,0
8,8199,6842,10158,14829,6956,9799,56783,0,0,0,0,0,0,0,11363,11182,2676,6756,11851,3349,4478,3411,277,2654,1824,344,0,0,0,0,0
9,8279,6895,10294,15144,6889,9946,57447,0,0,0,0,0,0,0,14230,14042,3366,8468,13337,4212,5633,4252,346,3367,2239,427,0,0,0,0,0
10,8333,6977,10420,15205,6997,9972,57904,0,0,0,0,0,0,0,17118,16927,4050,10258,14941,5102,6775,5146,423,4054,2727,513,0,0,0,0,0
1,7465,6375,9670,13958,6410,8930,52808,13,0,0,14,1,0,15,2582,2638,633,1691,1375,799,1033,782,54,660,418,82,4,1,1,0,6
2,7570,6575,9550,14100,6239,9367,53401,27,0,1,30,1,2,20,2615,2730,691,1631,2706,796,1064,834,66,637,384,73,5,2,1,0.001,7
3,7805,6358,9584,14206,6641,9309,53903,45,1,2,48,4,4,28,2718,2630,654,1680,4103,832,1090,776,56,676,432,83,5,1,1,0,10
4,7794,6394,9792,14538,6528,9530,54576,66,2,4,70,4,10,36,2685,2694,675,1675,5550,786,1083,830,69,652,439,73,10,5,1,0.002,10
5,7820,6590,10101,14646,6791,9702,55650,85,6,5,91,10,8,37,2689,2706,624,1667,7021,807,1087,796,61,635,437,92,10,4,1,0.001,13
6,7954,6833,10351,14980,6850,9764,56732,125,9,10,135,16,15,70,5424,5511,1308,3380,8538,1638,2199,1638,132,1307,888,170,26,8,1,0.001,19
7,8203,6955,10093,15106,6771,10006,57134,188,15,23,209,22,31,118,8302,8434,1938,5149,10037,2504,3352,2500,190,1990,1354,257,59,21,1,0.002,33
8,8301,6884,10263,15080,7074,9944,57546,273,52,32,298,58,48,178,11189,11274,2638,6957,11572,3337,4482,3353,263,2738,1842,344,111,42,1,0.003,37
9,8375,6866,10410,15328,7114,10151,58244,389,90,47,420,106,63,232,14124,14062,3319,8745,13105,4240,5679,4173,323,3438,2289,428,172,67,1,0.004,51
10,8384,6998,10610,15515,7180,10068,58755,512,136,57,546,155,77,252,17059,16960,4030,10452,14703,5131,6833,5055,404,4106,2761,523,242,85,1,0.004,52
1,7456,6394,9439,14060,6516,9245,53110,4,0,0,4,0,0,4,2586,2644,646,1645,1453,687,1074,798,56,676,453,82,2,2,1,0.001,2
2,7704,6364,9655,14434,6613,9649,54419,9,1,0,9,2,0,7,2633,2649,635,1654,2868,832,1014,795,62,635,416,74,2,0,1,0,5
3,7785,6491,10016,14678,6784,9566,55320,21,4,2,24,6,2,22,2696,2667,698,1707,4400,808,1113,814,74,680,438,76,8,2,1,0.001,9
4,7924,6694,10226,14927,6796,9843,56410,33,6,7,39,8,11,31,2772,2845,670,1714,5961,812,1134,865,66,698,460,80,6,3,1,0.001,11
5,7926,6875,10374,15046,6940,9826,56987,59,15,8,66,21,11,52,2765,2903,667,1823,7485,807,1127,898,72,756,444,78,15,5,1,0.001,19
6,8095,7098,10362,15346,6962,10010,57873,126,20,14,143,22,24,107,5560,5852,1376,3612,8992,1655,2233,1799,144,1495,881,153,54,15,1,0.002,31
7,8383,7016,10706,15414,7122,10239,58880,185,27,22,197,37,32,106,8464,8813,2123,5400,10590,2526,3374,2689,223,2227,1357,240,81,23,1,0.002,29
8,8396,7269,10678,15521,7148,10180,59192,284,49,25,305,58,37,166,11392,11825,2808,7179,12140,3396,4547,3603,302,2951,1827,321,126,40,1,0.003,54
9,8614,7230,10612,15713,7177,10419,59765,417,73,40,440,89,53,224,14461,14774,3477,8948,13740,4319,5771,4516,354,3675,2317,403,197,72,1,0.004,62
10,8621,7184,10702,16038,7294,10527,60366,587,122,52,621,140,76,307,17480,17726,4162,10741,15324,5289,6974,5400,425,4408,2800,515,299,110,1,0.005,93
1,7432,6404,9647,14063,6445,9116,53107,2,1,0,2,1,0,3,2540,2685,651,1643,1411,771,993,801,70,677,408,76,0,0,0,0,2
2,7662,6518,9819,14220,6419,9430,54068,8,1,0,9,2,0,8,2693,2781,620,1622,2793,829,1115,810,58,609,410,81,2,0,0,0,5
3,7766,6700,9882,14491,6623,9547,55009,16,2,2,18,2,3,14,2664,2824,663,1801,4280,790,1051,848,82,701,456,69,2,0,0,0,8
4,7987,6707,9944,14511,6722,9536,55407,33,14,3,34,16,5,35,2762,2820,640,1724,5726,815,1123,873,73,674,454,62,7,2,1,0.001,16
5,8101,6753,10168,14730,6756,9524,56032,70,24,3,72,27,5,54,2839,2818,640,1718,7243,845,1082,830,59,654,487,83,21,7,1,0.002,20
6,8149,6962,9999,14845,6740,9669,56364,110,26,3,116,28,3,50,5658,5754,1300,3460,8659,1675,2249,1734,135,1361,892,163,32,11,1,0.002,19
7,8303,6736,10232,14930,6825,9827,56853,143,35,9,155,40,17,73,8550,8559,1969,5213,10110,2483,3372,2577,225,2084,1352,235,45,16,1,0.002,20
8,8221,6911,10367,15305,6977,9982,57763,184,49,16,195,58,26,92,11315,11447,2664,6952,11679,3354,4464,3416,293,2771,1834,327,69,21,1,0.002,32
9,8333,6956,10370,15448,6936,10183,58226,241,57,21,249,62,31,93,14167,14377,3421,8713,13300,4255,5578,4279,376,3494,2285,425,97,33,1,0.002,38
10,8388,6943,10670,15378,7156,9984,58519,299,71,30,317,79,38,115,17017,17241,4179,10535,14897,5125,6748,5163,448,4273,2766,514,128,44,1,0.002,41
1,7485,6356,9603,14099,6476,9202,53221,13,0,0,14,1,0,15,2496,2662,630,1633,1430,784,1001,805,67,638,423,79,5,2,1,0.001,7
2,7735,6528,9836,14338,6517,9298,54252,24,1,0,26,1,1,15,2569,2693,652,1584,2888,810,1051,844,78,611,427,80,3,1,1,0,8
3,7993,6663,9913,14555,6569,9446,55139,39,1,0,42,3,0,20,2751,2808,689,1666,4311,820,1106,873,73,668,401,77,4,1,1,0,9
4,8073,6688,10189,14725,6704,9758,56137,54,3,2,60,3,6,29,2765,2763,676,1658,5810,859,1099,815,70,658,450,96,8,3,1,0.001,9
5,8154,6847,10200,14894,6842,9825,56762,75,8,4,79,11,8,39,2813,2730,707,1778,7398,828,1133,825,69,709,466,82,9,3,1,0.001,11
6,8394,6892,10199,14960,6975,9741,57161,105,10,7,107,12,8,40,5703,5618,1366,3511,8990,1679,2307,1680,136,1433,940,171,14,6,1,0.001,17
7,8448,6915,10298,15056,6908,9934,57559,137,15,8,143,18,12,51,8654,8540,2060,5256,10469,2545,3460,2560,194,2145,1395,252,30,14,1,0.001,19
8,8460,6931,10532,15315,6945,9893,58076,179,30,16,189,40,22,91,11514,11443,2754,7078,11997,3409,4575,3485,278,2831,1867,336,61,26,1,0.002,26
9,8553,7127,10494,15429,6956,10180,58739,222,59,24,232,67,31,105,14460,14382,3452,8866,13452,4264,5730,4379,353,3577,2295,425,88,36,1,0.002,36
