seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7429,6355,9600,14018,6397,9076,52875,3,2,1,7,3,5,15,2546,2647,648,1576,1363,739,1030,769,66,612,425,84,3,0,0,0,3
7609,6523,9930,14286,6490,9316,54154,4,6,2,5,8,2,9,2690,2795,663,1679,2790,820,1100,801,67,683,400,87,4,0,0,0,4
7673,6724,9628,14374,6571,9587,54557,9,6,2,9,6,2,5,2655,2834,679,1675,4208,797,1079,834,74,662,445,73,2,0,0,0,3
7907,6439,9912,14483,6798,9533,55072,20,7,2,23,7,3,16,2761,2660,651,1614,5688,831,1099,765,81,646,407,86,4,2,1,0.001,8
7939,6711,10003,14763,6705,9725,55846,35,8,3,37,9,4,21,2765,2766,651,1716,7145,824,1092,863,79,678,433,91,7,3,1,0.001,9
8131,6711,10137,14937,6836,9828,56580,62,10,3,65,10,3,32,5563,5542,1306,3471,8667,1683,2180,1684,139,1406,908,171,17,9,1,0.001,18
8176,6794,10222,14984,6893,9787,56856,86,15,4,90,15,6,36,8388,8363,1983,5284,10164,2527,3298,2518,192,2118,1351,256,27,13,1,0.001,15
8226,6933,10277,15062,6885,9968,57351,107,15,4,111,15,8,29,11322,11238,2694,6948,11672,3382,4450,3352,269,2806,1803,340,39,15,1,0.001,12
8245,6874,10504,15329,7038,9993,57983,127,21,6,132,23,9,38,14162,14104,3367,8738,13219,4225,5602,4227,346,3507,2272,425,50,17,1,0.001,17
8341,7138,10706,15655,7083,10073,58996,153,34,9,161,39,15,61,17097,17053,4076,10545,14808,5090,6776,5147,419,4232,2743,510,66,22,1,0.001,26
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7398,6364,9527,14046,6494,9253,53082,2,3,3,6,5,4,15,2602,2721,626,1608,1446,802,1011,837,71,640,416,79,3,1,1,0,7
7500,6447,9727,14257,6545,9344,53820,4,5,4,4,5,4,5,2650,2650,653,1660,2907,845,1013,788,66,652,479,84,1,1,1,0,3
7669,6591,9774,14377,6632,9428,54471,12,5,4,12,7,4,10,2734,2791,653,1619,4363,835,1068,837,59,645,426,75,3,3,1,0.001,5
7712,6529,10097,14583,6659,9528,55108,18,5,4,19,5,4,7,2609,2700,667,1689,5791,813,1006,791,65,665,433,85,4,0,1,0,2
7879,6753,10089,14822,6740,9866,56149,24,5,4,25,6,4,8,2755,2797,687,1696,7283,877,1085,827,68,685,432,86,2,0,1,0,3
8030,6692,10398,15013,6970,9847,56950,28,7,4,31,7,7,12,5552,5575,1344,3424,8790,1703,2208,1622,133,1361,918,168,5,0,1,0,5
8098,7045,10568,15404,6976,10090,58181,33,8,4,34,11,4,10,8394,8414,1994,5152,10367,2583,3371,2502,193,2055,1379,243,9,1,1,0,5
8435,7091,10799,15663,7108,10147,59243,35,8,4,35,8,4,2,11292,11391,2732,6968,11935,3435,4480,3430,281,2761,1826,347,9,1,1,0,2
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7423,6404,9554,14009,6410,9143,52943,21,1,2,22,3,3,28,2694,2639,654,1552,1375,792,1061,794,67,652,374,87,10,4,1,0.001,11
7512,6452,9754,14321,6455,9405,53899,44,2,2,45,3,5,29,2564,2620,625,1638,2757,777,1023,795,68,638,405,65,10,7,1,0.002,11
7748,6641,10001,14612,6693,9545,55240,84,3,3,92,4,10,58,2654,2831,659,1663,4241,844,1092,894,67,660,449,87,18,5,1,0.002,19
7952,6663,10195,14864,6711,9737,56122,131,8,7,140,12,15,77,2760,2766,682,1691,5728,884,1144,760,76,692,460,92,25,8,1,0.002,27
